sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
美濃,高雄市,42,,良好,1.5,0.28,36.6,14.9,35,11,3.3,4.5,1.2,1.8,278,"2024-11-21 12:00",,0.3,12.9,32,1,120.530542,22.883583,47
臺南,臺南市,46,,良好,1,0.25,43.2,20.3,28,15,10.2,13.1,2.9,3.3,14,"2024-11-21 12:00",,0.2,14.3,28,1,120.21947897,22.98928311,46
安南,臺南市,46,,良好,1.1,0.24,42.4,21.4,28,16,6.8,8.4,1.6,3.2,318,"2024-11-21 12:00",,0.2,14.1,29,1,120.2175,23.048197,45
善化,臺南市,53,細懸浮微粒,普通,1.4,0.23,39.5,20.2,33,17,7,8.9,1.9,3.6,351,"2024-11-21 12:00",,0.2,16.5,28,1,120.29740529,23.11337642,44
新營,臺南市,44,,良好,1.5,0.29,41.1,22.8,29,17,7.4,10.6,3.1,2.3,18,"2024-11-21 12:00",,0.2,13.4,27,1,120.31725,23.305633,43
嘉義,嘉義市,46,,良好,1.5,0.28,35.3,20.0,34,20,9.1,11.9,2.8,2.2,21,"2024-11-21 12:00",,0.2,14.2,24,3,120.44125148,23.46477865,42
臺西,雲林縣,36,,良好,0.7,0.17,43.7,39.2,,,,,,10.2,23,"2024-11-21 12:00",,0.1,5.1,23,0,120.19933333,23.702175,41
朴子,嘉義縣,31,,良好,2.1,0.23,38.7,30.5,66,8,6.8,9.2,2.4,2.9,344,"2024-11-21 12:00",,0.2,5.3,31,1,120.2478,23.46538,40
新港,嘉義縣,30,,良好,2,0.2,44.4,32.1,42,12,6,7.2,1.1,3.7,346,"2024-11-21 12:00",,0.2,8.9,22,1,120.345531,23.554839,39
崙背,雲林縣,48,,良好,0.6,0.24,35.1,31.7,98,15,6.4,8.6,2.1,2.5,346,"2024-11-21 12:00",,0.2,12.5,48,1,120.348742,23.757547,38
斗六,雲林縣,36,,良好,1.8,0.26,41.4,26,24,16,7.2,9.4,2.2,1.7,340,"2024-11-21 12:00",,0.2,11.2,19,1,120.544994,23.711853,37
南投,南投縣,26,,良好,2,0.29,37.2,24.4,33,10,12.9,17.2,4.2,2,333,"2024-11-21 12:00",,0.3,8.1,17,1,120.685306,23.913,36
二林,彰化縣,25,,良好,1.4,0.19,21.7,27.8,22,5,7,9.5,2.5,5.5,20,"2024-11-21 12:00",,0.1,5.2,17,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1,0.21,37.2,34.9,20,4,7.5,10.5,3,8.6,32,"2024-11-21 12:00",,0.1,4.5,15,1,120.469061,24.131672,34
彰化,彰化縣,24,,良好,0.6,0.23,27.7,26.8,18,2,12.9,20.4,7.5,3.6,17,"2024-11-21 12:00",,0.2,5.4,12,0,120.541519,24.066,33
西屯,臺中市,28,,良好,1.1,0.19,31.9,30.9,16,8,7.6,11.1,3.5,5.1,4,"2024-11-21 12:00",,0.1,5.5,13,1,120.616917,24.162197,32
忠明,臺中市,25,,良好,1.3,0.26,27.5,27.2,15,5,11,16.2,5.1,3,321,"2024-11-21 12:00",,0.2,4.5,11,1,120.641092,24.151958,31
大里,臺中市,22,,良好,,,23.8,24.3,17,4,,,,3,353,"2024-11-21 12:00",,0.2,4,10,1,120.67844444,24.09961111,30
沙鹿,臺中市,31,,良好,0.9,0.18,33.6,33.5,12,7,6.6,8.7,2,5.8,64,"2024-11-21 12:00",,0.1,7.1,10,1,120.568794,24.225628,29
豐原,臺中市,25,,良好,0.9,0.21,,27.1,8,3,5.4,8,2.6,3.7,345,"2024-11-21 12:00",,0.2,1.5,4,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.8,0.19,,30.3,,,8.3,10.3,2,5.7,11,"2024-11-21 12:00",,0.1,5,5,1,120.75956754,24.38248443,27
苗栗,苗栗縣,30,,良好,0.9,0.19,30.7,32.4,3,8,8.5,10.7,2.2,3.6,4,"2024-11-21 12:00",,0.1,5.2,4,1,120.82011468,24.56499183,26
頭份,苗栗縣,31,,良好,1,0.19,33.8,34.2,9,5,7.8,10.5,2.6,2.9,36,"2024-11-21 12:00",,0.2,3.1,7,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,1.1,0.2,33.9,34.9,6,0,9.3,11.2,1.9,3.7,26,"2024-11-21 12:00",,0.1,1.9,6,1,120.97236752,24.8056356,24
竹東,新竹縣,34,,良好,0.7,0.14,38,37.8,4,0,3.4,4.3,0.8,6.5,34,"2024-11-21 12:00",,0.1,0.8,3,0,121.08895493,24.74091408,23
湖口,新竹縣,33,,良好,1.2,0.18,33.4,36.6,10,0,8.4,10.7,2.3,7.4,40,"2024-11-21 12:00",,0.1,2.7,7,1,121.03886894,24.90009696,22
龍潭,桃園市,31,,良好,0.6,0.21,31.1,33.4,10,3,9.3,11.7,2.4,5.9,59,"2024-11-21 12:00",,0.2,3.1,6,0,121.21645772,24.86400048,21
平鎮,桃園市,33,,良好,0.7,0.25,23.3,29.1,5,4,20.5,25.4,4.8,2.7,54,"2024-11-21 12:00",,0.2,3.9,5,0,121.203986,24.952786,20
觀音,桃園市,33,,良好,0.5,0.14,35.2,37.0,9,4,6.5,7.9,1.3,6.6,64,"2024-11-21 12:00",,0.1,5.6,11,0,121.08283092,25.03556747,19
大園,桃園市,40,,良好,1.8,0.21,25.9,34.2,16,8,24.6,36.5,11.9,6.4,40,"2024-11-21 12:00",,,5.6,11,1,121.20251473,25.06100357,18
桃園,桃園市,27,,良好,0.7,0.34,24.3,29.7,11,3,15.8,19.4,3.5,2.1,52,"2024-11-21 12:00",,0.3,3.6,5,0,121.30500531,24.9947107,17
大同,臺北市,52,二氧化氮,普通,0.6,0.96,9.6,18.0,13,9,32.6,81.6,49,-,-,"2024-11-21 12:00",,0.8,8.6,9,0,121.51342074,25.06331455,16
松山,臺北市,28,,良好,0.7,0.23,21.7,28.1,13,7,17.8,23.2,5.3,1.6,19,"2024-11-21 12:00",,0.2,3.2,8,0,121.578611,25.05,15
古亭,臺北市,29,,良好,0.1,0.23,29.8,31.1,5,2,11.5,14.3,2.8,1.3,70,"2024-11-21 12:00",,0.2,2.7,4,,121.529556,25.020608,14
萬華,臺北市,27,,良好,0.6,0.27,24.3,28.4,10,2,16.7,20,3.2,2.6,101,"2024-11-21 12:00",,0.2,2.1,6,0,121.507972,25.046503,13
中山,臺北市,28,,良好,0.8,0.31,24.2,26.4,3,2,17.1,22.2,5,2.8,85,"2024-11-21 12:00",,0.3,2.5,4,0,121.526528,25.062361,12
士林,臺北市,35,,良好,,,,38.7,9,3,,,,,,"2024-11-21 12:00",,0.1,2.5,6,0,121.51666356,25.10334003,11
淡水,新北市,34,,良好,1,0.19,36.1,37.6,6,5,3.6,4.7,1.1,3.4,20,"2024-11-21 12:00",,0.1,3.4,3,0,121.449239,25.1645,10
林口,新北市,29,,良好,0.4,0.2,25.6,31.9,2,6,15,20.6,5.6,2.8,50,"2024-11-21 12:00",,0.1,1.5,2,0,121.36548982,25.07798949,9
菜寮,新北市,28,,良好,0.6,0.36,25.6,29.4,5,4,17.6,22.2,4.5,1.7,92,"2024-11-21 12:00",,0.3,4,4,0,121.481028,25.06895,8
新莊,新北市,42,,良好,0.8,0.29,,30.9,,,25.1,35.5,10.4,3.1,92,"2024-11-21 12:00",,0.2,4.9,11,0,121.4325,25.037972,7
板橋,新北市,32,,良好,0.5,0.33,24.8,33.0,7,0,19.5,24.4,4.9,1.9,99,"2024-11-21 12:00",,0.2,1.7,2,0,121.458667,25.012972,6
土城,新北市,31,,良好,0.7,0.23,32.5,34.3,9,1,11.6,13.5,1.8,1.8,141,"2024-11-21 12:00",,0.2,0.7,6,1,121.451861,24.982528,5
新店,新北市,28,,良好,0.4,0.24,30,30.2,6,8,10.8,12.4,1.6,1.1,67,"2024-11-21 12:00",,0.2,7.2,5,0,121.537778,24.977222,4
萬里,新北市,42,,良好,0.5,0.17,44.5,45.1,21,3,2.1,2.7,0.5,8.3,37,"2024-11-21 12:00",,0.1,3.6,20,0,121.689881,25.179667,3
汐止,新北市,32,,良好,0.4,0.18,30,35.2,5,3,12.6,15.2,2.6,1.5,48,"2024-11-21 12:00",,0.1,3.7,1,0,121.64081,25.06624,2
基隆,基隆市,37,,良好,0.7,0.18,40,40.8,8,1,3.1,3.7,0.6,1.2,81,"2024-11-21 12:00",,0.1,1.4,4,0,121.760056,25.129167,1
屏東(枋山),屏東縣,67,細懸浮微粒,普通,3,0.36,63.5,39.8,70,42,7.2,8.3,1,2.5,287,"2024-11-21 12:00",,0.2,21.8,45,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,32,,良好,0,0.12,38.2,35.8,3,4,3.7,4.3,0.6,2,56,"2024-11-21 12:00",,0.1,3.1,4,0,121.82463916,24.85366672,312
新北(樹林),新北市,28,,良好,0.3,0.25,23.2,24.5,7,5,17,24.4,7.4,0.2,171,"2024-11-21 12:00",,0.2,2.5,4,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,85,細懸浮微粒,普通,2.7,0.53,30,17.7,77,39,28.9,36.2,7.2,2.1,325,"2024-11-21 12:00",,0.4,29.2,61,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,36,,良好,0.7,0.21,39.4,22.2,26,8,6.6,8.5,1.8,2.4,7,"2024-11-21 12:00",,0.2,11.2,26,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,54,細懸浮微粒,普通,1.8,0.32,43.6,14.1,43,25,11,14.5,3.5,1.2,270,"2024-11-21 12:00",,0.3,16.9,32,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,25,,良好,1.6,0.25,35.8,27.6,13,8,8.4,11.2,2.7,1.9,354,"2024-11-21 12:00",,0.2,5,13,1,120.56373,23.96117,201
大城,彰化縣,39,,良好,0.8,0.13,46.8,42.8,25,6,0.9,4,3.1,10.9,38,"2024-11-21 12:00",,0.1,7.6,17,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.13,45.9,45.6,30,4,0.8,0.7,0,8.7,49,"2024-11-21 12:00",,0.1,3.6,24,0,121.53656894,25.29681695,84
麥寮,雲林縣,32,,良好,1.4,0.17,44.2,35.3,51,7,4.6,5.9,1.3,6.9,359,"2024-11-21 12:00",,0.2,8.2,30,2,120.251825,23.753506,83
關山,臺東縣,29,,良好,1.4,0.21,39.2,31.1,14,0,3.8,5.5,1.6,3.7,28,"2024-11-21 12:00",,0.1,2.4,14,0,121.161933,23.045083,80
馬公,澎湖縣,39,,良好,1.9,0.16,42.1,42.6,16,7,2.1,3.1,1,7,26,"2024-11-21 12:00",,0.1,4.4,15,1,119.566158,23.569031,78
金門,金門縣,16,,良好,1.1,0.32,18.9,17.1,9,6,7.2,10.4,3.1,2.1,77,"2024-11-21 12:00",,0.2,3.5,7,1,118.312256,24.432133,77
馬祖,連江縣,40,,良好,0.7,0.22,28.8,26.7,16,11,4.4,5.2,0.8,2.6,340,"2024-11-21 12:00",,0.2,12.3,17,0,119.952724,26.153736,75
埔里,南投縣,52,細懸浮微粒,普通,1,0.2,34.8,16.3,13,13,1.8,3.6,1.8,2.2,258,"2024-11-21 12:00",,0.2,16.1,20,1,120.967903,23.968842,72
復興,高雄市,109,細懸浮微粒,對敏感族群不健康,2,0.63,48.8,15.0,65,51,24.2,27,2.7,1.2,287,"2024-11-21 12:00",,0.6,38.7,51,1,120.312017,22.608711,71
永和,新北市,28,,良好,0.7,0.31,29.4,30.6,5,1,11.3,15,3.6,1.3,105,"2024-11-21 12:00",,0.4,2.4,4,1,121.516306,25.017,70
竹山,南投縣,37,,良好,1.1,0.25,33.5,19.5,28,15,9.9,11.8,1.8,1.2,199,"2024-11-21 12:00",,0.2,11.5,19,1,120.677306,23.756389,69
中壢,桃園市,43,,良好,0.9,0.45,16.1,20.4,10,8,26.5,45.2,18.7,0.7,5,"2024-11-21 12:00",,0.3,6.7,11,0,121.221667,24.953278,68
三重,新北市,15,,良好,,,9,14.8,9,4,,,,-,-,"2024-11-21 12:00",,0.7,4.5,11,0,121.493806,25.072611,67
冬山,宜蘭縣,32,,良好,0.4,0.18,33.6,35.9,0,0,8.9,10.8,1.9,0.4,350,"2024-11-21 12:00",,0.1,0.5,1,0,121.792928,24.632203,66
宜蘭,宜蘭縣,32,,良好,0.5,0.25,34.5,35.6,1,2,6.8,8.4,1.6,1.8,86,"2024-11-21 12:00",,0.2,2.2,3,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.7,0.17,41.4,42.3,2,1,0.7,1,0.2,,,"2024-11-21 12:00",,0.1,0.2,3,0,121.529583,25.182722,64
花蓮,花蓮縣,34,,良好,1.6,0.23,41.5,37.8,13,0,3.7,4.6,0.9,4,70,"2024-11-21 12:00",,0.2,1.2,12,1,121.599769,23.971306,63
臺東,臺東縣,28,,良好,1.4,0.23,41.1,30.6,24,0,3.8,5.7,1.9,3.4,21,"2024-11-21 12:00",,0.2,2.4,13,1,121.15045,22.755358,62
恆春,屏東縣,37,,良好,0.4,0.14,43.8,40.6,8,4,1.3,1.8,0.4,8.3,30,"2024-11-21 12:00",,0.1,3.3,9,0,120.788928,21.958069,61
潮州,屏東縣,97,細懸浮微粒,普通,2.7,0.49,82,27.5,74,52,8,9.1,1,2.8,258,"2024-11-21 12:00",,0.4,34,59,1,120.561175,22.523108,60
屏東,屏東縣,76,細懸浮微粒,普通,1.1,0.39,52.4,19.0,62,32,8.7,10.5,1.7,0.9,323,"2024-11-21 12:00",,0.4,25.7,56,1,120.488033,22.673081,59
小港,高雄市,83,細懸浮微粒,普通,,0.76,34.8,12.3,78,,,,,2,288,"2024-11-21 12:00",,0.6,28.6,57,2,120.337736,22.565833,58
前鎮,高雄市,97,細懸浮微粒,普通,,,49.2,15.0,70,45,,,,2.3,22,"2024-11-21 12:00",,0.5,34,54,1,120.30833356,22.6044507,57
前金,高雄市,84,細懸浮微粒,普通,,0.43,,8.0,89,36,,,,3.3,8,"2024-11-21 12:00",,0.4,28.9,64,1,120.28676111,22.63390278,56
左營,高雄市,72,細懸浮微粒,普通,1.9,0.39,48.3,15.3,65,32,15.9,19.2,3.3,3.3,295,"2024-11-21 12:00",,0.4,23.9,52,1,120.292917,22.674861,54
楠梓,高雄市,67,細懸浮微粒,普通,2.1,0.33,50.9,13.6,60,30,13.1,15.7,2.6,1.6,337,"2024-11-21 12:00",,0.3,22.1,45,1,120.328289,22.733667,53
林園,高雄市,110,細懸浮微粒,對敏感族群不健康,6.7,0.72,49,21.4,93,54,35.6,39.9,4.3,2.5,227,"2024-11-21 12:00",,0.4,39,75,3,120.41175,22.4795,52
大寮,高雄市,93,細懸浮微粒,普通,7.6,0.66,55.7,17.2,57,50,26.4,28.7,2.2,1.1,254,"2024-11-21 12:00",,0.4,32.5,41,2,120.425311,22.56413611,51
鳳山,高雄市,90,細懸浮微粒,普通,3.2,0.75,49.3,14.0,70,44,33.9,39.4,5.4,1,59,"2024-11-21 12:00",,0.6,31.4,54,2,120.357422,22.628126,50
仁武,高雄市,80,細懸浮微粒,普通,1.4,0.41,52,13.0,64,42,19.9,23.3,3.3,1.8,300,"2024-11-21 12:00",,0.5,27.2,46,1,120.332631,22.689056,49
橋頭,高雄市,76,細懸浮微粒,普通,1.9,0.36,47.2,15.2,50,32,15.6,17.9,2.3,1.6,356,"2024-11-21 12:00",,0.3,25.7,45,1,120.305689,22.757506,48
美濃,高雄市,42,,良好,1.5,0.28,36.6,14.9,35,11,3.3,4.5,1.2,1.8,278,"2024-11-21 12:00",,0.3,12.9,32,1,120.530542,22.883583,47
臺南,臺南市,46,,良好,1,0.25,43.2,20.3,28,15,10.2,13.1,2.9,3.3,14,"2024-11-21 12:00",,0.2,14.3,28,1,120.21947897,22.98928311,46
安南,臺南市,46,,良好,1.1,0.24,42.4,21.4,28,16,6.8,8.4,1.6,3.2,318,"2024-11-21 12:00",,0.2,14.1,29,1,120.2175,23.048197,45
善化,臺南市,53,細懸浮微粒,普通,1.4,0.23,39.5,20.2,33,17,7,8.9,1.9,3.6,351,"2024-11-21 12:00",,0.2,16.5,28,1,120.29740529,23.11337642,44
新營,臺南市,44,,良好,1.5,0.29,41.1,22.8,29,17,7.4,10.6,3.1,2.3,18,"2024-11-21 12:00",,0.2,13.4,27,1,120.31725,23.305633,43
嘉義,嘉義市,46,,良好,1.5,0.28,35.3,20.0,34,20,9.1,11.9,2.8,2.2,21,"2024-11-21 12:00",,0.2,14.2,24,3,120.44125148,23.46477865,42
臺西,雲林縣,36,,良好,0.7,0.17,43.7,39.2,,,,,,10.2,23,"2024-11-21 12:00",,0.1,5.1,23,0,120.19933333,23.702175,41
朴子,嘉義縣,31,,良好,2.1,0.23,38.7,30.5,66,8,6.8,9.2,2.4,2.9,344,"2024-11-21 12:00",,0.2,5.3,31,1,120.2478,23.46538,40
新港,嘉義縣,30,,良好,2,0.2,44.4,32.1,42,12,6,7.2,1.1,3.7,346,"2024-11-21 12:00",,0.2,8.9,22,1,120.345531,23.554839,39
崙背,雲林縣,48,,良好,0.6,0.24,35.1,31.7,98,15,6.4,8.6,2.1,2.5,346,"2024-11-21 12:00",,0.2,12.5,48,1,120.348742,23.757547,38
斗六,雲林縣,36,,良好,1.8,0.26,41.4,26,24,16,7.2,9.4,2.2,1.7,340,"2024-11-21 12:00",,0.2,11.2,19,1,120.544994,23.711853,37
南投,南投縣,26,,良好,2,0.29,37.2,24.4,33,10,12.9,17.2,4.2,2,333,"2024-11-21 12:00",,0.3,8.1,17,1,120.685306,23.913,36
二林,彰化縣,25,,良好,1.4,0.19,21.7,27.8,22,5,7,9.5,2.5,5.5,20,"2024-11-21 12:00",,0.1,5.2,17,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1,0.21,37.2,34.9,20,4,7.5,10.5,3,8.6,32,"2024-11-21 12:00",,0.1,4.5,15,1,120.469061,24.131672,34
彰化,彰化縣,24,,良好,0.6,0.23,27.7,26.8,18,2,12.9,20.4,7.5,3.6,17,"2024-11-21 12:00",,0.2,5.4,12,0,120.541519,24.066,33
西屯,臺中市,28,,良好,1.1,0.19,31.9,30.9,16,8,7.6,11.1,3.5,5.1,4,"2024-11-21 12:00",,0.1,5.5,13,1,120.616917,24.162197,32
忠明,臺中市,25,,良好,1.3,0.26,27.5,27.2,15,5,11,16.2,5.1,3,321,"2024-11-21 12:00",,0.2,4.5,11,1,120.641092,24.151958,31
大里,臺中市,22,,良好,,,23.8,24.3,17,4,,,,3,353,"2024-11-21 12:00",,0.2,4,10,1,120.67844444,24.09961111,30
沙鹿,臺中市,31,,良好,0.9,0.18,33.6,33.5,12,7,6.6,8.7,2,5.8,64,"2024-11-21 12:00",,0.1,7.1,10,1,120.568794,24.225628,29
豐原,臺中市,25,,良好,0.9,0.21,,27.1,8,3,5.4,8,2.6,3.7,345,"2024-11-21 12:00",,0.2,1.5,4,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.8,0.19,,30.3,,,8.3,10.3,2,5.7,11,"2024-11-21 12:00",,0.1,5,5,1,120.75956754,24.38248443,27
苗栗,苗栗縣,30,,良好,0.9,0.19,30.7,32.4,3,8,8.5,10.7,2.2,3.6,4,"2024-11-21 12:00",,0.1,5.2,4,1,120.82011468,24.56499183,26
頭份,苗栗縣,31,,良好,1,0.19,33.8,34.2,9,5,7.8,10.5,2.6,2.9,36,"2024-11-21 12:00",,0.2,3.1,7,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,1.1,0.2,33.9,34.9,6,0,9.3,11.2,1.9,3.7,26,"2024-11-21 12:00",,0.1,1.9,6,1,120.97236752,24.8056356,24
竹東,新竹縣,34,,良好,0.7,0.14,38,37.8,4,0,3.4,4.3,0.8,6.5,34,"2024-11-21 12:00",,0.1,0.8,3,0,121.08895493,24.74091408,23
湖口,新竹縣,33,,良好,1.2,0.18,33.4,36.6,10,0,8.4,10.7,2.3,7.4,40,"2024-11-21 12:00",,0.1,2.7,7,1,121.03886894,24.90009696,22
龍潭,桃園市,31,,良好,0.6,0.21,31.1,33.4,10,3,9.3,11.7,2.4,5.9,59,"2024-11-21 12:00",,0.2,3.1,6,0,121.21645772,24.86400048,21
平鎮,桃園市,33,,良好,0.7,0.25,23.3,29.1,5,4,20.5,25.4,4.8,2.7,54,"2024-11-21 12:00",,0.2,3.9,5,0,121.203986,24.952786,20
觀音,桃園市,33,,良好,0.5,0.14,35.2,37.0,9,4,6.5,7.9,1.3,6.6,64,"2024-11-21 12:00",,0.1,5.6,11,0,121.08283092,25.03556747,19
大園,桃園市,40,,良好,1.8,0.21,25.9,34.2,16,8,24.6,36.5,11.9,6.4,40,"2024-11-21 12:00",,,5.6,11,1,121.20251473,25.06100357,18
桃園,桃園市,27,,良好,0.7,0.34,24.3,29.7,11,3,15.8,19.4,3.5,2.1,52,"2024-11-21 12:00",,0.3,3.6,5,0,121.30500531,24.9947107,17
大同,臺北市,52,二氧化氮,普通,0.6,0.96,9.6,18.0,13,9,32.6,81.6,49,-,-,"2024-11-21 12:00",,0.8,8.6,9,0,121.51342074,25.06331455,16
松山,臺北市,28,,良好,0.7,0.23,21.7,28.1,13,7,17.8,23.2,5.3,1.6,19,"2024-11-21 12:00",,0.2,3.2,8,0,121.578611,25.05,15
古亭,臺北市,29,,良好,0.1,0.23,29.8,31.1,5,2,11.5,14.3,2.8,1.3,70,"2024-11-21 12:00",,0.2,2.7,4,,121.529556,25.020608,14
萬華,臺北市,27,,良好,0.6,0.27,24.3,28.4,10,2,16.7,20,3.2,2.6,101,"2024-11-21 12:00",,0.2,2.1,6,0,121.507972,25.046503,13
中山,臺北市,28,,良好,0.8,0.31,24.2,26.4,3,2,17.1,22.2,5,2.8,85,"2024-11-21 12:00",,0.3,2.5,4,0,121.526528,25.062361,12
士林,臺北市,,,,,,,,,,,,,,,"2024-11-21 12:00",,,,,,121.51666356,25.10334003,11
淡水,新北市,34,,良好,1,0.19,36.1,37.6,6,5,3.6,4.7,1.1,,,"2024-11-21 12:00",,0.1,3.4,3,0,121.449239,25.1645,10
林口,新北市,29,,良好,0.4,0.2,25.6,31.9,2,6,15,20.6,5.6,2.8,50,"2024-11-21 12:00",,0.1,1.5,2,0,121.36548982,25.07798949,9
菜寮,新北市,28,,良好,0.6,0.36,25.6,29.4,5,4,17.6,22.2,4.5,1.7,92,"2024-11-21 12:00",,0.3,4,4,0,121.481028,25.06895,8
新莊,新北市,42,,良好,0.8,0.29,,30.9,,,25.1,35.5,10.4,3.1,92,"2024-11-21 12:00",,0.2,4.9,11,0,121.4325,25.037972,7
板橋,新北市,32,,良好,0.5,0.33,24.8,33.0,7,0,19.5,24.4,4.9,1.9,99,"2024-11-21 12:00",,0.2,1.7,2,0,121.458667,25.012972,6
土城,新北市,31,,良好,0.7,0.23,32.5,34.3,9,1,11.6,13.5,1.8,1.8,141,"2024-11-21 12:00",,0.2,0.7,6,1,121.451861,24.982528,5
新店,新北市,28,,良好,0.4,0.24,30,30.2,6,8,10.8,12.4,1.6,1.1,67,"2024-11-21 12:00",,0.2,7.2,5,0,121.537778,24.977222,4
萬里,新北市,42,,良好,0.5,0.17,44.5,45.1,21,3,2.1,2.7,0.5,8.3,37,"2024-11-21 12:00",,0.1,3.6,20,0,121.689881,25.179667,3
汐止,新北市,32,,良好,0.4,0.18,30,35.2,5,3,12.6,15.2,2.6,1.5,48,"2024-11-21 12:00",,0.1,3.7,1,0,121.64081,25.06624,2
基隆,基隆市,37,,良好,0.7,0.18,40,40.8,8,1,3.1,3.7,0.6,1.2,81,"2024-11-21 12:00",,0.1,1.4,4,0,121.760056,25.129167,1
屏東(枋山),屏東縣,53,細懸浮微粒,普通,3.9,0.37,54.3,36,72,37,6.4,7.5,1.1,2.1,292,"2024-11-21 11:00",,0.2,16.3,36,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,33,,良好,0,0.14,37.2,36.2,4,2,4.9,5.8,0.9,1.5,56,"2024-11-21 11:00",,0.1,3.5,4,0,121.82463916,24.85366672,312
新北(樹林),新北市,33,,良好,0.3,0.22,20.7,26.0,7,5,20.2,27.6,7.3,0.1,168,"2024-11-21 11:00",,0.2,1.7,4,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,79,細懸浮微粒,普通,2.2,0.49,25,16.5,62,32,21.2,26.6,5.4,0.7,336,"2024-11-21 11:00",,0.3,26.9,56,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,36,,良好,0.8,0.22,30.2,19.3,34,11,8,11.3,3.2,2.6,359,"2024-11-21 11:00",,0.2,11.2,25,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,49,,良好,2.2,0.34,23.2,9.7,40,20,18.6,26.2,7.6,1.4,290,"2024-11-21 11:00",,0.3,15,30,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,24,,良好,1.7,0.26,31.7,26.6,16,6,9.9,13,3.1,1.9,359,"2024-11-21 11:00",,0.2,4.6,13,1,120.56373,23.96117,201
大城,彰化縣,38,,良好,0.9,0.13,43.7,41.6,20,6,,,,9.9,45,"2024-11-21 11:00",,0.1,7.6,16,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.14,44.2,45.9,32,4,1,1,0,9.9,45,"2024-11-21 11:00",,0.1,4,23,0,121.53656894,25.29681695,84
麥寮,雲林縣,31,,良好,2.1,0.18,39.5,33.3,48,8,6.3,8.4,2,7.5,3,"2024-11-21 11:00",,0.2,8.2,25,2,120.251825,23.753506,83
關山,臺東縣,27,,良好,1.2,0.21,35.7,29.6,18,2,4.2,6.8,2.5,4.2,43,"2024-11-21 11:00",,0.1,2.9,14,0,121.161933,23.045083,80
馬公,澎湖縣,39,,良好,1.9,0.16,41.3,42.8,16,2,2.1,2.9,0.8,7.8,31,"2024-11-21 11:00",,0.1,3.9,15,1,119.566158,23.569031,78
金門,金門縣,16,,良好,1.3,0.28,16.9,17.0,8,2,7.1,9.7,2.5,1.8,92,"2024-11-21 11:00",,0.2,3,7,1,118.312256,24.432133,77
馬祖,連江縣,43,,良好,0.6,0.21,28.9,26.3,12,12,3.9,4.6,0.7,2.4,339,"2024-11-21 11:00",,0.2,13.1,18,0,119.952724,26.153736,75
埔里,南投縣,51,細懸浮微粒,普通,1.1,0.24,30.1,14.1,17,15,3.7,6.5,2.7,1.8,271,"2024-11-21 11:00",,0.2,15.7,21,1,120.967903,23.968842,72
復興,高雄市,99,細懸浮微粒,普通,1.9,0.75,31.2,9.8,70,55,27.4,32.4,5,1,281,"2024-11-21 11:00",,0.5,35.1,48,1,120.312017,22.608711,71
永和,新北市,30,,良好,0.8,0.35,27.8,32.3,7,3,13.7,18.1,4.3,1.6,83,"2024-11-21 11:00",,0.3,2.7,4,1,121.516306,25.017,70
竹山,南投縣,36,,良好,1.1,0.25,28,17.4,19,16,9.5,12.1,2.5,1.4,356,"2024-11-21 11:00",,0.2,11.1,18,1,120.677306,23.756389,69
中壢,桃園市,42,,良好,0.7,0.35,16.4,22.7,14,8,25.4,44.5,19,1.2,14,"2024-11-21 11:00",,0.3,6.4,10,0,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.7,0.8,,18.5,,6,33.9,86.8,52.9,-,-,"2024-11-21 11:00",,0.7,4.6,10,0,121.493806,25.072611,67
冬山,宜蘭縣,34,,良好,0.3,0.18,35,37.1,1,1,6.6,8.5,1.8,1,346,"2024-11-21 11:00",,0.1,0.6,1,0,121.792928,24.632203,66
宜蘭,宜蘭縣,33,,良好,0.4,0.22,35.2,36.3,5,0,5.8,7.4,1.5,1,103,"2024-11-21 11:00",,0.2,2.2,3,0,121.746394,24.747917,65
